id,row,col,cell,xcoord,ycoord,landtype,elevation,species,age,biomass,stems,slowGrowth,slowGrowthLight,slowGrowthWater,slowGrowthTemp,dbh,height,availableLight,light_rf,leafArea,droughtIndex,moisture_rf,degreeDay_rf,foliageWght,twigWght,boleWght,deadFoliage,deadTwig,deadbole,mortality
59,0,21,21,534.8,271.8,1,2200,grass,190,0.0083,1,5,5,0,0,0,1,0.0836,0,4.9708,0,1,0.2956,0.0042,0,0,0.5025,1.1946,0.0331,0
60,0,21,21,534.8,271.8,1,2200,larideci,180,0.0444,1,0,0,0,0,11.4113,9.7233,0.9949,0.9965,4.9708,0,1,0.17,0.0011,0.0365,0.0068,0.5025,1.1946,0.0331,3
61,0,21,21,534.8,271.8,1,2200,pinucemb,140,0.0169,1,0,0,0,0,9.1607,7.7088,0.98,0.992,4.9708,0,1,0.1799,0.0033,0.0127,0.0009,0.5025,1.1946,0.0331,10
11441,0,21,21,534.8,271.8,1,2200,pinucemb,69,0.0127,4,0,0,0,0,8.2717,7.173,0.9557,0.9825,4.9708,0,1,0.1799,0.0028,0.0096,0.0003,0.5025,1.1946,0.0331,24
12298,0,21,21,534.8,271.8,1,2200,pinucemb,61,0.0124,14,0,0,0,0,8.2032,7.131,0.8766,0.9494,4.9708,0,1,0.1799,0.0028,0.0093,0.0003,0.5025,1.1946,0.0331,51
13048,0,21,21,534.8,271.8,1,2200,pinucemb,57,0.0122,12,0,0,0,0,8.1702,7.1108,0.7494,0.8869,4.9708,0,1,0.1799,0.0027,0.0092,0.0003,0.5025,1.1946,0.0331,50
13538,0,21,21,534.8,271.8,1,2200,pinucemb,53,0.0121,7,0,0,0,0,8.1375,7.0907,0.6641,0.8367,4.9708,0,1,0.1799,0.0027,0.0091,0.0002,0.5025,1.1946,0.0331,35
14010,0,21,21,534.8,271.8,1,2200,pinucemb,46,0.0119,32,0,0,0,0,8.0943,7.0642,0.5568,0.7596,4.9708,0,1,0.1799,0.0027,0.009,0.0002,0.5025,1.1946,0.0331,42
14467,0,21,21,534.8,271.8,1,2200,pinucemb,45,0.0114,10,0,0,0,0,7.9743,6.9902,0.4159,0.6178,4.9708,0,1,0.1799,0.0026,0.0086,0.0002,0.5025,1.1946,0.0331,24
17730,0,21,21,534.8,271.8,1,2200,pinucemb,20,0.0107,31,0,0,0,0,7.7929,6.8779,0.3377,0.535,4.9708,0,1,0.1799,0.0025,0.0081,0.0001,0.5025,1.1946,0.0331,16
